"","Titulo","Tipo","Estado","Cantidad_episodio","Visitas"
"295","Kamisama ni Natta hi","TV","Finalizado","12","92389"
"296","Adachi and Shimamura","TV","Finalizado","12","57449"
"297","Akudama Drive","TV","Finalizado","12","92954"
"298","Noblesse","TV","Finalizado","13","223152"
"299","Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen","TV","Finalizado","12","140492"
"300","Strike Witches: Road to Berlin","TV","Finalizado","12","20571"
"301","Watashi ni Tenshi ga Maiorita!","TV","Finalizado","13","24770"
"302","Ikebukuro West Gate Park","TV","Finalizado","12","43478"
"303","Maoujou de Oyasumi","TV","Finalizado","12","59963"
"304","One Room 3","TV","Finalizado","12","20503"
"305","Golden Kamuy 3","TV","Finalizado","12","25863"
"306","Yuukoku no Moriarty","TV","Finalizado","11","92838"
"307","Kami-tachi ni Hirowareta Otoko","TV","Finalizado","12","86358"
"308","Love Live! Nijigasaki Gakuen School Idol Doukoukai","TV","Finalizado","13","23229"
"309","Hypnosis Mic: Division Rap Battle - Rhyme Anima","TV","Finalizado","13","30468"
"310","Dragon Quest: Dai no Daibouken (2020)","TV","Emision","41","198850"
"311","Rail Romanesque","TV","Finalizado","12","22262"
"312","Munou na Nana","TV","Finalizado","13","134155"
"313","Date A Bullet: Dead or Bullet","Pelicula","Finalizado","2","110373"
"314","Animegataris","TV","Finalizado","12","9081"
"315","Senyoku no Sigrdrifa","TV","Finalizado","12","37982"
"316","Iwa Kakeru! Sport Climbing Girls","TV","Finalizado","12","43095"
"317","Hanyo no Yashahime","TV","Finalizado","24","212613"
"318","Mahouka Koukou no Rettousei: Raihousha-hen","TV","Finalizado","13","204062"
"319","Majo no Tabitabi","TV","Finalizado","12","78310"
"320","100-man no Inochi no Ue ni Ore wa Tatte Iru","TV","Finalizado","12","139010"
"321","King's Raid: Ishi wo Tsugumono-tachi","TV","Finalizado","26","123297"
"322","Tonikaku Kawaii","TV","Finalizado","13","632933"
"323","Haikyuu!!: To the Top 2nd Cour","TV","Finalizado","12","266387"
"324","Danmachi III","TV","Finalizado","12","333402"
"325","Assault Lily: Bouquet","TV","Finalizado","12","47248"
"326","Higurashi no Naku Koro ni (2020)","TV","Finalizado","24","122267"
"327","Burn the Witch","Pelicula","Finalizado","3","60951"
"328","Saenai Heroine no Sodatekata. Fine","Pelicula","Finalizado","1","59277"
"329","Kuma Kuma Kuma Bear","TV","Finalizado","12","60360"
"330","Love Live! Sunshine!! 2nd Season","TV","Finalizado","13","4530"
"331","Nakanohito Genome [Jikkyouchuu]: Knots of Memories","OVA","Finalizado","1","38824"
"332","Love Live! Sunshine!!","TV","Finalizado","13","6421"
"333","Jujutsu Kaisen","TV","Finalizado","25","1495917"
"334","Dragon's Dogma","TV","Finalizado","7","37373"
"335","Love Live! School Idol Project 2nd Season","TV","Finalizado","13","7777"
"336","Love Live! School Idol Project","TV","Finalizado","14","18382"
"337","Ookami to Koushinryou II: Holo no Short Anime","Especial","Finalizado","2","5219"
"338","Ookami to Koushinryou II","TV","Finalizado","12","16796"
"339","Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu","OVA","Finalizado","1","13303"
"340","Ookami to Koushinryou","TV","Finalizado","13","19535"
"341","Ta ga Tame no Alchemist","Pelicula","Finalizado","1","49698"
"342","Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA","OVA","Finalizado","1","21027"
"343","Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.","TV","Finalizado","12","33593"
"344","Kuzu no Honkai","TV","Finalizado","12","55344"
"345","Ore no Imouto ga Konnani Kawaii Wake ga Nai 2","TV","Finalizado","16","26178"
"346","Ore no Imouto ga Konnani Kawaii Wake ga Nai","TV","Finalizado","16","29911"
"347","Seikon no Qwaser II Especiales","Especial","Finalizado","4","7924"
"348","Seikon no Qwaser Especiales","Especial","Finalizado","16","11243"
"349","Seikon no Qwaser II","TV","Finalizado","12","25621"
"350","Terra Formars: Bugs 2-hen","OVA","Finalizado","2","13272"
"351","Terra Formars: Revenge","TV","Finalizado","13","16231"
"352","Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set","OVA","Finalizado","1","47485"
"353","Seikon no Qwaser","TV","Finalizado","25","53452"
"354","One Piece Film: Gold","Pelicula","Finalizado","1","32504"
"355","One Piece Film: Z","Pelicula","Finalizado","1","29344"
"356","One Piece 3D: Mugiwara Chase","Pelicula","Finalizado","1","13239"
"357","One Piece Film: Strong World","Pelicula","Finalizado","1","24198"
"358","Fairy Tail Movie 2: Dragon Cry","Pelicula","Finalizado","1","13565"
"359","Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa","Especial","Finalizado","1","7153"
"360","Fairy Tail Movie 1: Houou no Miko","Pelicula","Finalizado","1","14362"
"361","Fairy Tail OVA","OVA","Finalizado","9","17465"
"362","Nagato Yuki-chan no Shoushitsu","TV","Finalizado","17","15808"
"363","Suzumiya Haruhi no Shoushitsu","Pelicula","Finalizado","1","19649"
"364","Suzumiya Haruhi no Yuuutsu (2009)","TV","Finalizado","14","20741"
"365","Zero no Tsukaima: F","TV","Finalizado","12","38348"
"366","Suzumiya Haruhi no Yuuutsu","TV","Finalizado","14","26396"
"367","Steel Angel Kurumi Zero","OVA","Finalizado","3","32296"
"368","Steel Angel Kurumi 2","TV","Finalizado","12","8539"
"369","Steel Angel Kurumi Encore","OVA","Finalizado","4","4616"
"370","Zero no Tsukaima: Princess no Rondo - Yuuwaku no Sunahama","OVA","Finalizado","1","19323"
"371","Zero no Tsukaima: Princess no Rondo","TV","Finalizado","12","29606"
"372","Zero no Tsukaima: Futatsuki no Kishi","TV","Finalizado","12","43176"
"373","Zero no Tsukaima","TV","Finalizado","13","63323"
"374","Steel Angel Kurumi","TV","Finalizado","24","15926"
"375","Soukou no Strain","TV","Finalizado","13","9518"
"376","Non Non Biyori Movie: Vacation","Pelicula","Finalizado","1","5355"
"377","Non Non Biyori Repeat: Hotaru ga Tanoshinda","OVA","Finalizado","1","4187"
"378","Non Non Biyori Repeat","TV","Finalizado","12","10773"
"379","Non Non Biyori","TV","Finalizado","12","20056"
"380","Gochuumon wa Usagi Desu ka??: Sing for You","OVA","Finalizado","1","5327"
"381","Gochuumon wa Usagi Desu ka??: Dear My Sister","Pelicula","Finalizado","1","5534"
"382","Gochuumon wa Usagi Desu ka??","TV","Finalizado","12","9769"
"383","Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren","OVA","Finalizado","2","119049"
"384","Gochuumon wa Usagi Desu ka?","TV","Finalizado","12","10450"
"385","Saenai Heroine no Sodatekata Flat","TV","Finalizado","12","43713"
"386","Saenai Heroine no Sodatekata","TV","Finalizado","13","60827"
"387","B-gata H-kei","TV","Finalizado","12","34189"
"388","Sayonara no Asa ni Yakusoku no Hana wo Kazarou","Pelicula","Finalizado","1","28275"
"389","Minami no Shima no Dera-chan","TV","Finalizado","1","8814"
"390","Tamako Love Story","Pelicula","Finalizado","1","20868"
"391","Tamako Market","TV","Finalizado","12","19051"
"392","JoJo's Bizarre Adventure: Diamond is Unbreakable","TV","Finalizado","39","75802"
"393","Onegai Teacher","TV","Finalizado","13","36375"
"394","Shijou Saikyou no Deshi Kenichi OVA","OVA","Finalizado","11","36239"
"395","JoJo's Bizarre Adventure","TV","Finalizado","26","93792"
"396","Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai Movie","TV","Finalizado","1","12650"
"397","Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai","TV","Finalizado","11","15434"
"398","Gin no Saji 2","TV","Finalizado","11","4222"
"399","Gin no Saji","TV","Finalizado","11","7182"
"400","Hakubo","Pelicula","Finalizado","1","27157"
"401","Aku no Hana","TV","Finalizado","13","19557"
"402","Another","TV","Finalizado","13","97029"
